,candidate_id,name,party,net_receipts,rounded_net_receipts
0,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,1051374613.89,1051.4
1,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,789817267.86,789.8
2,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,143155969.0,143.2
3,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,129010164.0,129.0
4,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,71059345.0,71.1
5,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,69666347.0,69.7
6,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,59333570.0,59.3
7,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,57470185.0,57.5
8,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,35229265.0,35.2
9,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,33742257.0,33.7
10,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,32172341.0,32.2
11,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,30095973.0,30.1
12,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,29590686.0,29.6
13,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,26239785.0,26.2
14,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,26132535.0,26.1
15,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,26125224.0,26.1
16,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,25553391.0,25.6
17,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,19195863.0,19.2
18,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,17870952.0,17.9
19,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,16367038.0,16.4
20,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,16364785.0,16.4
21,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,16023734.0,16.0
22,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,15588080.0,15.6
23,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,14465901.0,14.5
24,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,14281602.0,14.3
25,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,14136477.0,14.1
26,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,14004555.0,14.0
27,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,13860266.0,13.9
28,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,13047900.0,13.0
29,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,12885826.0,12.9
30,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,12808878.0,12.8
31,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,12379530.0,12.4
32,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,12280695.0,12.3
33,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,12043095.0,12.0
34,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,11958828.0,12.0
35,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,11905367.0,11.9
36,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,11461302.0,11.5
37,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,10743188.0,10.7
38,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,10237060.0,10.2
39,P00009092,"CASTRO, JULIÁN",DEMOCRATIC PARTY,10106543.43,10.1
40,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,9291176.0,9.3
41,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,8197908.0,8.2
42,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,8053994.0,8.1
43,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,7949712.0,7.9
44,P00009910,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,7914551.01,7.9
45,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,7770730.0,7.8
46,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,7707501.0,7.7
47,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,7631519.0,7.6
48,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,7516047.0,7.5
49,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,7015337.0,7.0
50,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,6852860.0,6.9
51,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,6736338.0,6.7
52,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,6674802.0,6.7
53,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,6614996.0,6.6
54,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,6243179.0,6.2
55,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,6222217.0,6.2
56,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,4963785.0,5.0
57,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,4851877.0,4.9
58,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,4850294.0,4.9
59,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,4726365.0,4.7
60,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,4669184.0,4.7
61,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,4539749.0,4.5
62,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,4512565.0,4.5
63,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,4229955.0,4.2
64,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3893383.0,3.9
65,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3713951.0,3.7
66,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3676860.0,3.7
67,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3574738.0,3.6
68,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3552749.0,3.6
69,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,3530963.0,3.5
70,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,3424806.0,3.4
71,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,3118742.0,3.1
72,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,3022982.0,3.0
73,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,2902526.0,2.9
74,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,2838698.0,2.8
75,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,2789094.0,2.8
76,P80000722,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,2757009.0,2.8
77,P80001571,"TRUMP, DONALD J.",REPUBLICAN PARTY,2742756.0,2.7
